150 500
30 8 73
77 148 32
141 140 91
83 118 57
59 2 20
43 137 86
28 69 97
37 61 31
131 124 73
123 139 15
2 24 7
92 10 58
77 37 88
57 86 28
114 112 81
135 67 10
96 28 5
75 39 20
144 35 35
68 74 87
23 103 47
140 71 20
80 67 84
21 106 26
46 128 77
18 131 6
116 53 92
46 9 25
78 85 55
146 97 24
143 145 72
15 33 1
62 4 96
99 91 48
60 96 62
11 148 7
82 90 18
70 9 17
124 112 11
54 145 71
66 1 23
1 131 92
81 130 63
81 18 45
26 135 97
141 124 95
19 20 93
53 12 16
128 130 80
59 63 46
20 16 26
114 104 46
133 45 56
49 117 43
105 5 45
78 81 55
43 11 65
16 112 100
41 14 39
24 134 95
107 72 25
80 20 32
31 72 64
48 2 72
60 53 82
116 6 8
44 72 58
108 125 8
117 103 37
19 65 78
38 57 17
123 47 81
137 12 43
109 122 19
115 55 41
28 58 46
119 58 49
108 32 15
4 13 17
134 50 43
25 135 19
48 129 24
120 30 80
122 35 52
16 10 29
123 66 32
131 40 52
139 21 69
91 149 59
122 28 20
59 118 3
58 128 13
143 66 15
107 109 7
89 127 89
145 80 65
36 43 75
144 117 75
16 3 99
45 73 73
31 138 12
8 24 88
29 111 57
39 102 79
33 49 44
62 1 57
23 141 9
118 86 46
82 23 77
121 76 40
30 148 45
38 36 40
92 143 75
120 58 100
93 42 36
116 118 75
85 109 83
119 29 69
106 90 51
49 120 41
140 148 25
71 64 85
54 71 16
62 15 38
71 16 83
46 47 37
92 97 80
114 67 53
64 121 96
65 90 24
39 9 25
72 106 60
135 130 45
11 42 85
56 13 93
35 21 31
11 83 2
64 6 90
16 83 28
70 109 24
74 137 88
111 64 12
61 92 29
24 142 13
12 7 68
143 134 79
61 71 42
45 120 23
80 62 19
56 58 76
69 132 91
108 29 23
100 107 16
14 123 20
112 65 80
28 53 8
118 132 46
13 19 99
38 125 22
146 120 78
130 94 80
97 86 85
87 88 94
34 4 94
1 139 61
55 14 72
94 62 16
123 107 27
15 136 23
73 42 34
145 31 11
38 28 61
34 52 97
41 8 60
98 25 41
2 95 81
39 6 92
89 72 94
63 144 37
44 58 77
133 36 33
26 126 36
142 72 31
98 127 26
107 43 23
39 69 63
150 65 62
93 90 78
107 141 21
32 65 62
71 41 72
103 70 74
145 83 24
66 55 30
16 24 17
78 103 66
72 9 77
80 16 30
24 68 86
80 78 20
32 68 47
40 11 44
30 125 48
60 127 86
89 53 92
46 94 39
69 150 58
132 109 9
112 116 38
61 11 86
107 64 97
4 135 53
38 117 77
6 150 56
19 110 2
66 98 93
75 64 43
28 132 33
31 39 27
104 70 95
59 12 13
119 115 63
19 49 44
48 72 93
62 49 43
141 150 76
46 63 50
132 26 91
18 53 33
113 14 37
58 35 28
1 150 78
83 86 86
121 123 27
81 132 60
51 96 6
32 96 11
139 27 100
145 87 83
150 85 2
50 145 98
111 128 80
20 125 44
23 16 33
34 110 31
51 114 84
39 43 71
134 137 12
43 38 65
150 54 23
22 3 78
22 137 93
126 107 93
146 102 59
86 26 91
26 17 77
117 138 65
82 62 92
39 24 82
134 68 97
67 52 31
33 64 10
23 109 62
50 1 65
3 20 59
87 118 51
143 129 81
6 89 33
145 139 78
148 139 43
45 15 57
63 76 81
74 34 20
4 57 45
50 147 52
116 73 66
30 142 81
95 1 2
125 149 52
100 74 41
95 11 85
2 106 33
125 62 11
3 121 27
45 67 49
2 17 81
72 129 11
46 92 95
68 45 46
72 56 82
98 100 41
66 65 48
84 90 65
75 69 15
66 32 41
122 44 33
104 73 82
3 150 67
4 77 44
47 57 75
70 73 36
143 55 64
136 103 47
115 13 34
105 47 21
47 69 93
17 62 88
146 132 85
129 142 14
136 62 99
41 146 53
32 46 28
59 128 14
132 89 97
144 7 6
98 47 5
38 56 21
118 63 38
2 128 50
71 96 2
114 11 47
100 73 8
123 148 47
35 38 48
